[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\075.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\075.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\076.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\076.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\077.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\077.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\078.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\078.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\079.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\079.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\080.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\080.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\081.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\081.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\082.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\082.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\083.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\083.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\084.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\084.jpg
